,GSM2668066,GSM2668067,GSM2668068,GSM2668069,GSM2668070,GSM2668071,GSM2668072,GSM2668073,GSM2668074,GSM2668075,GSM2668076,GSM2668077,GSM2668078,GSM2668079,GSM2668080
ENSG00000169635,102,89,89,88,50,87,73,32,16,30,16,153,169,34,38
ENSG00000169641,489,620,432,448,203,243,261,156,136,79,75,927,387,53,98
ENSG00000169660,823,945,613,1002,342,417,469,260,358,187,441,272,606,308,403
ENSG00000169676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000169679,11,19,45,43,19,302,313,142,54,78,148,1368,161,59,99
ENSG00000169682,101,126,117,127,35,121,131,67,202,103,68,55,72,38,70
ENSG00000169683,178,246,193,195,83,384,331,166,297,70,138,165,143,176,297
ENSG00000169684,4,3,0,0,2,1,7,2,3,0,10,36,6,55,3
ENSG00000169688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000169689,77,99,98,172,49,239,334,98,358,260,323,207,149,95,158
ENSG00000169692,162,178,126,233,68,849,777,512,1303,947,54,292,393,106,321
ENSG00000169696,167,249,170,273,83,250,331,149,410,283,103,442,196,89,203
ENSG00000169704,18,34,19,61,9,63,22,2,10,0,10,8,19,1,17
ENSG00000169710,195,304,306,370,165,324,440,173,206,195,181,1801,589,315,350
ENSG00000169714,9329,8535,7229,12388,3618,6104,5791,4590,5071,2224,15274,11072,6878,5371,4168
ENSG00000169715,10,3,11,10,2,2,3,0,6,2,11,31,30,5,52
ENSG00000169717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000169718,730,945,829,1219,351,651,860,356,712,386,630,802,745,412,529
ENSG00000169727,597,939,810,985,375,904,810,388,1295,1500,626,979,853,537,701
ENSG00000169733,52,97,66,134,52,176,192,100,184,205,66,89,147,53,79
ENSG00000169738,78,106,97,196,56,191,226,105,444,212,329,371,125,105,183
ENSG00000169740,125,197,196,204,91,103,84,29,97,18,89,209,95,363,93
ENSG00000169744,1,14,19,3,2,0,1,0,0,0,0,26,0,0,1
ENSG00000169750,6,2,9,14,8,73,66,33,55,41,23,180,47,23,112
ENSG00000169752,1,0,0,0,2,17,32,8,30,30,0,0,103,0,15
ENSG00000169756,1270,1575,1373,1922,385,1323,722,610,271,413,593,1254,889,186,162
ENSG00000169758,4,4,4,2,0,27,28,15,71,19,0,1,1,1,13
ENSG00000169760,0,0,1,0,0,0,0,0,6,0,24,42,4,0,0
ENSG00000169762,294,334,349,447,158,403,471,422,200,241,97,453,604,160,88
ENSG00000169763,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000169764,1181,1152,1153,1182,497,1102,1140,1320,338,383,212,742,668,1748,216
ENSG00000169777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000169783,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0
ENSG00000169789,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000169800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000169807,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000169811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000169813,5558,5687,5105,6344,2779,5887,5594,3398,971,1040,2346,7615,3418,1632,1132
ENSG00000169814,34,38,42,53,17,51,46,33,70,18,28,111,20,24,18
ENSG00000169826,1523,1753,1286,1954,715,1302,1207,2216,311,1414,128,672,1096,370,151
ENSG00000169836,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000169840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000169849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000169851,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0
ENSG00000169855,16,46,26,48,15,6,0,5,0,0,45,16,10,5,16
ENSG00000169856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000169857,59,55,65,56,42,129,104,38,93,61,173,381,152,91,68
ENSG00000169860,24,42,32,41,25,111,75,28,9,11,107,264,273,47,35
ENSG00000169862,1,2,2,9,0,0,0,0,0,0,0,0,0,0,1
ENSG00000169871,3183,3991,4440,3379,2057,2120,1873,2090,1633,1457,869,2216,3498,901,1332
ENSG00000169876,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
ENSG00000169877,0,0,1,0,3,359,343,4,37,60,510,193,40,106,1548
ENSG00000169884,30,39,45,62,26,0,0,0,0,0,0,3,1,2,4
ENSG00000169885,14,7,13,13,3,0,2,1,0,0,1,7,1,4,9
ENSG00000169891,21,32,31,32,19,269,113,377,525,236,47,24,26,50,75
ENSG00000169894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ENSG00000169895,699,690,696,601,370,390,452,577,870,1954,229,4633,625,301,393
ENSG00000169896,1822,2968,2484,2179,1064,6312,5312,9577,3703,3558,303,1466,666,846,1342
ENSG00000169900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000169902,19,32,29,16,7,80,43,78,69,150,21,54,86,9,29
ENSG00000169903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000169905,259,382,310,223,130,448,364,690,261,628,120,643,321,139,126
ENSG00000169906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000169908,1,3,2,6,0,44,20,2,34,10,8,1128,386,4,12
ENSG00000169914,279,333,311,347,132,216,140,106,15,9,54,194,106,38,43
ENSG00000169918,6,17,18,13,8,25,3,1,0,0,0,13,0,0,0
ENSG00000169919,490,622,717,787,374,2185,2516,984,3114,3072,1155,1666,1551,312,1229
ENSG00000169925,1650,1615,1881,1775,500,1393,1267,584,852,125,78,1890,581,249,189
ENSG00000169926,749,962,665,1078,1221,551,493,507,432,184,658,629,2493,1029,656
ENSG00000169933,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0
ENSG00000169946,0,2,0,9,0,6,5,0,1,0,17,62,15,0,1
ENSG00000169951,83,86,81,96,40,76,66,17,19,26,12,11,53,25,18
ENSG00000169953,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0
ENSG00000169955,71,62,45,90,32,73,115,36,88,10,48,36,51,36,29
ENSG00000169957,102,122,121,135,89,570,531,251,540,108,199,470,525,256,423
ENSG00000169962,9,12,11,21,11,2,0,10,9,8,0,1,1,8,1
ENSG00000169967,882,1091,1069,1083,519,838,584,1142,286,466,177,411,547,240,235
ENSG00000169972,47,76,69,87,27,50,74,32,87,49,58,154,58,49,43
ENSG00000169976,59,83,102,120,30,264,237,141,597,1073,221,219,142,216,161
ENSG00000169989,5,3,1,2,1,1,0,0,0,3,0,0,0,1,0
ENSG00000169991,443,475,388,616,241,46,58,30,86,13,13,469,187,34,44
ENSG00000169992,30,44,19,43,12,15,3,3,5,0,1,8,0,6,48
ENSG00000169994,76,67,40,70,4,62,44,196,300,257,3,18,39,1765,17
ENSG00000170004,6355,5275,7262,6579,3731,3156,2717,2773,2030,1582,1166,3824,4968,1655,1599
ENSG00000170006,885,1235,616,962,704,897,524,1884,305,350,6,164,128,37,50
ENSG00000170011,0,0,1,0,0,0,0,0,0,0,1,21,0,1,1
