"","GSM2668066","GSM2668067","GSM2668068","GSM2668069","GSM2668070","GSM2668071","GSM2668072","GSM2668073","GSM2668074","GSM2668075","GSM2668076","GSM2668077","GSM2668078","GSM2668079","GSM2668080"
"ENSG00000226314",0.804075023314125,0.791214561065241,0.951796099588118,0.868669992429552,1.53750989203428,0.319998194677385,2.15417595135036,0.953392956910264,0.777920628725329,0,4.08687334585885,1.1375820328704,0.373923728696849,1.552421159549,0.536654866623725
"ENSG00000226328",4.37774179359912,5.10693034869383,4.44171513141122,5.6797653351163,3.22877077327199,2.55998555741908,5.08385524518685,6.91209893759942,5.18613752483553,14.6338473579754,1.95459160019336,2.03567311145229,1.40221398261318,10.866948116843,2.32550442203614
"ENSG00000226360",0.53605001554275,0.575428771683811,0.713847074691089,1.06913229837483,4.45877868689941,1.11999368137085,1.12017149470219,0.119174119613783,2.59306876241776,1.28649207542641,16.5251835289075,0.29936369286063,2.24354237218109,3.27733355904789,2.68327433311862
"ENSG00000226378",2.94827508548512,3.16485824426096,3.17265366529373,2.40554767134337,1.23000791362742,3.19998194677385,0,2.62183063150323,0,0,0,0,0.280442796522637,0,0.715539822164966
"ENSG00000226384",3.2163000932565,3.02100105134001,5.79009293916105,4.74427457403832,4.15127670849255,4.23997607947535,6.37636081599707,4.29026830609619,5.4454444010773,4.34191075456412,6.57453538246859,13.5312389173005,2.24354237218109,5.51971967839645,16.4574159097942
"ENSG00000226404",0.3573666770285,1.58242912213048,0.872479757955775,1.06913229837483,0.922505935220567,2.15998781407235,0.603169266378101,2.74100475111701,2.33376188617599,1.12568056599811,0.533070436416372,0.119745477144252,1.30873305043897,0,2.68327433311862
"ENSG00000226419",8.75548358719825,9.06300315402003,4.99692952283762,6.414793790249,6.15003956813711,2.71998465475777,2.67117817967445,0.953392956910264,4.79717721047286,3.69866471685092,23.9881696387367,6.8853649357945,8.60024576002752,6.03719339824611,18.7829203318304
"ENSG00000226437",24.8369840534807,21.6505075346034,14.5942068603511,26.5278451534255,15.8363518879531,0,10.5123786425898,21.2129932912534,23.8562326142434,0,12.6160003285208,23.5898589974177,0,1.20743867964922,19.8562300650778
"ENSG00000226479",7.5047002175985,6.04200210268002,9.43864465424884,8.55305838699866,11.3775732010537,13.3599246277808,13.9590601647503,13.9433719948126,9.20539410658306,2.09054962256791,9.95064814643894,9.81912912582867,9.9089788104665,15.8691940753898,9.4809026436858
"ENSG00000226618",6.70062519428437,0,1.03111244122046,78.4475823932534,0,0.479997292016077,0,1.07256707652405,0,0,0,0,0,0,9.4809026436858
"ENSG00000226688",5.62852516319887,4.45957298054954,4.36239878977888,3.87560458160877,5.22753363291655,5.91996660153162,2.92967929383649,3.21770122957214,0.388960314362665,0.643246037713204,2.84304232755398,11.5554385444203,8.03936016698225,10.866948116843,8.94424777706208
"ENSG00000226696",2.858933416228,4.02800140178668,2.85538829876436,2.20508536539809,0,2.47998600874973,2.92967929383649,6.19705421991672,2.98202907678043,0,0.533070436416372,4.72994634719796,6.45018432002064,0,8.04982299935587
"ENSG00000226704",0,3.38064403364239,3.01402098202904,0,0,8.79995035362808,2.4126770655124,0,8.03851316349507,0,0,0,0.560885593045273,0,0
"ENSG00000226711",0.89341669257125,2.51750087611667,2.30017390733795,1.26959460432011,0.307501978406856,0.559996840685423,0.344668152216058,0.238348239227566,0,0,0,0,1.68265677913582,0,1.25219468878869
"ENSG00000226721",3.84169177805637,1.65435771859096,2.22085756570561,2.53918920864023,2.92126879486513,0.719995938024115,0.344668152216058,1.4300894353654,1.29653438120888,0.804057547141505,0.177690145472124,3.29300062146693,0.0934809321742122,0.172491239949889,0.536654866623725
"ENSG00000226742",2.94827508548512,4.53150157701001,5.55214391426402,10.4240399091546,3.53627275167884,11.2799363623778,7.66886638680729,4.52861654532376,10.6315819259128,5.62840282999053,2.66535218208186,7.54396506008788,9.72201694611807,2.75985983919822,13.2374867100519
"ENSG00000226752",12.2398086882261,24.3837942001015,11.1836041701604,10.490860677803,2.46001582725485,7.03996028290246,9.30604010983356,4.40944242570997,13.7432644408141,6.27164886770374,2.66535218208186,6.40638302721749,7.47847457393698,6.55466711809578,5.00877875515476
"ENSG00000226763",1.87617505439962,1.00700035044667,1.1104287828528,1.4700569102654,1.69126088123771,1.51999142471758,1.63717372302627,2.26430827266188,1.16688094308799,1.44730358485471,3.90918320038673,5.20892825577497,2.33702330435531,1.72491239949889,0.715539822164966
"ENSG00000226788",26.5344757693661,11.8682184159786,27.5227705464231,24.5900428626212,28.4439330026342,27.7598433882631,31.1924677755532,6.67375069837185,28.1347960722327,49.5299449039167,28.9634937119562,38.1389344704443,50.9471080349457,81.0708827764478,42.5746194188155
"ENSG00000226791",5.18181681691325,5.61043052391716,5.23487854773465,4.81109534268675,4.76628066530626,0.639996389354769,0.172334076108029,0.238348239227566,1.68549469557155,1.44730358485471,0.177690145472124,2.57452775860142,1.68265677913582,35.5331954296771,3.21992919974235
"ENSG00000226826",0.804075023314125,0.791214561065241,86.8513940874158,77.1111670202848,0.307501978406856,34.7198041224962,0,11.9174119613783,0,0,3.90918320038673,3.11338240575056,0.186961864348424,0,0
"ENSG00000226858",2.32288340068525,0,2.69675561549967,2.27190613404652,4.15127670849255,0,9.47837418594159,1.66843767459296,0,0,0,0,0,0,0
"ENSG00000226882",32.5203676095935,26.1100805151529,30.7747405533492,0,0,31.5998217243917,19.2152494860452,0,9.98331473530839,27.6595796216678,33.4057473487593,0,0,30.7034407110802,3.93546902190731
"ENSG00000226950",5.62852516319887,9.49457473278289,7.37641977180792,12.2282006626622,7.84130044937482,9.11994854830546,14.9930646213985,3.33687534918593,25.1527669954523,15.9203394334018,40.5133531676443,17.3630941859166,14.3025826226545,24.838738552784,15.562991132088
"ENSG00000227039",53.605001554275,26.6135806903763,49.8899788867439,37.9541965923066,72.5704669040179,53.5196980597926,50.8385524518685,156.833141411738,39.6739520649918,49.3691333944884,8.52912698266195,19.458640035941,8.4132838956791,19.4915101143375,52.592176929125
"ENSG00000227124",1.60815004662825,2.4455722796562,2.61743927386733,1.26959460432011,2.15251384884799,2.23998736274169,3.61901559826861,3.21770122957214,1.29653438120888,0.643246037713204,1.77690145472124,3.59236431432756,7.47847457393698,5.69221091834634,2.86215928865986
